ダウンロードした時刻：2019/08/12 21:03:28

,,,酒田,酒田,酒田
年,月,日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,,,
,,,,,
1989,7,1,18.7,21.5,16.1
1989,7,2,18.5,22.2,15.5
1989,7,3,19.3,24.0,14.9
1989,7,4,18.8,21.7,16.6
1989,7,5,18.8,21.9,16.4
1989,7,6,19.4,23.8,14.7
1989,7,7,20.7,24.3,17.2
1989,7,8,23.2,29.5,17.8
1989,7,9,23.7,29.6,20.5
1989,7,10,21.4,24.6,19.7
1989,7,11,21.3,24.4,18.0
1989,7,12,20.4,22.7,19.0
1989,7,13,21.8,25.8,18.5
1989,7,14,20.2,22.6,17.4
1989,7,15,21.5,25.4,16.1
1989,7,16,23.7,27.2,20.8
1989,7,17,23.6,28.3,21.1
1989,7,18,25.2,30.0,20.4
1989,7,19,25.2,30.9,20.3
1989,7,20,26.1,30.1,22.6
1989,7,21,26.8,31.2,22.8
1989,7,22,26.6,31.0,22.9
1989,7,23,26.6,30.6,22.9
1989,7,24,27.2,31.2,22.5
1989,7,25,29.3,34.0,24.1
1989,7,26,30.0,35.7,26.4
1989,7,27,29.0,33.6,25.7
1989,7,28,28.8,33.0,25.0
1989,7,29,28.4,33.0,24.6
1989,7,30,27.9,32.8,24.2
1989,7,31,28.0,33.7,23.2
1989,8,1,26.7,30.5,24.0
1989,8,2,27.6,32.5,24.2
1989,8,3,28.4,34.2,24.5
1989,8,4,27.9,32.1,24.0
1989,8,5,28.0,33.0,23.8
1989,8,6,28.8,33.9,24.7
1989,8,7,26.1,28.7,24.5
1989,8,8,26.5,29.9,23.9
1989,8,9,26.2,29.7,22.4
1989,8,10,24.6,27.4,21.9
1989,8,11,23.7,27.6,19.2
1989,8,12,26.1,30.8,19.9
1989,8,13,27.9,33.6,24.3
1989,8,14,24.3,26.3,22.8
1989,8,15,25.8,30.0,22.4
1989,8,16,25.6,29.4,20.5
1989,8,17,25.1,29.4,22.5
1989,8,18,23.8,27.2,21.1
1989,8,19,23.0,27.3,19.0
1989,8,20,26.0,32.2,19.8
1989,8,21,27.4,33.8,22.2
1989,8,22,27.4,32.0,23.5
1989,8,23,26.4,30.6,22.8
1989,8,24,24.2,27.5,19.0
1989,8,25,23.2,28.1,17.0
1989,8,26,25.5,30.9,20.8
1989,8,27,23.9,26.7,21.1
1989,8,28,23.3,26.3,21.5
1989,8,29,24.2,28.0,21.0
1989,8,30,26.0,32.0,20.4
1989,8,31,25.1,28.1,22.8
1989,9,1,24.6,28.2,21.2
1989,9,2,23.1,26.4,21.0
1989,9,3,23.0,26.1,21.0
1989,9,4,21.9,24.7,19.9
1989,9,5,23.3,27.8,19.6
1989,9,6,20.4,22.0,19.0
1989,9,7,22.4,26.1,20.2
1989,9,8,23.2,27.5,20.8
1989,9,9,23.9,27.2,20.9
1989,9,10,23.6,26.5,22.0
1989,9,11,22.7,25.6,21.2
1989,9,12,22.8,27.1,20.4
1989,9,13,22.4,24.5,20.2
1989,9,14,21.4,22.4,20.7
1989,9,15,21.8,24.7,20.4
1989,9,16,20.4,25.0,15.6
1989,9,17,20.6,26.3,13.4
1989,9,18,22.8,27.4,20.1
